dt,dt/tau,C,C*tau,C*dt
146,1.46,0.00189984130859375,0.189984130859375,0.27737683105468747
147,1.47,0.00173541259765625,0.173541259765625,0.25510565185546874
148,1.48,0.00168914794921875,0.168914794921875,0.249993896484375
149,1.49,0.00164630126953125,0.16463012695312498,0.24529888916015624
150,1.5,0.00159722900390625,0.159722900390625,0.2395843505859375
151,1.51,0.001557373046875,0.1557373046875,0.23516333007812498
152,1.52,0.00150537109375,0.150537109375,0.22881640625000002
153,1.53,0.0015172119140625,0.15172119140625,0.2321334228515625
154,1.54,0.00151007080078125,0.151007080078125,0.2325509033203125
155,1.55,0.0013590087890625,0.13590087890625,0.21064636230468747
156,1.56,0.0013314208984375,0.13314208984375,0.20770166015625
157,1.57,0.00138623046875,0.138623046875,0.21763818359375
158,1.58,0.001309326171875,0.13093261718750002,0.20687353515625
159,1.59,0.00132562255859375,0.132562255859375,0.21077398681640627
160,1.6,0.00131640625,0.131640625,0.210625
161,1.61,0.001258056640625,0.1258056640625,0.20254711914062498
162,1.62,0.0013189697265625,0.13189697265625,0.21367309570312498
163,1.63,0.00125238037109375,0.12523803710937498,0.20413800048828123
164,1.64,0.00112615966796875,0.11261596679687501,0.184690185546875
165,1.65,0.0011702880859375,0.11702880859374999,0.1930975341796875
166,1.66,0.001121337890625,0.1121337890625,0.18614208984375
167,1.67,0.00102685546875,0.102685546875,0.17148486328125
168,1.68,0.0010723876953125,0.10723876953125,0.1801611328125
169,1.69,0.0010662841796875,0.10662841796875,0.1802020263671875
170,1.7,0.0010955810546875,0.10955810546875,0.186248779296875
171,1.71,0.0011116943359375,0.11116943359374999,0.19009973144531248
172,1.72,0.00110919189453125,0.11091918945312498,0.190781005859375
173,1.73,0.0010238037109375,0.10238037109375,0.1771180419921875
174,1.74,0.001067626953125,0.1067626953125,0.18576708984375
175,1.75,0.0009493408203125,0.09493408203125,0.16613464355468752
176,1.76,0.00088702392578125,0.088702392578125,0.1561162109375
177,1.77,0.00087835693359375,0.087835693359375,0.15546917724609374
178,1.78,0.000902099609375,0.0902099609375,0.16057373046874998
179,1.79,0.0009442138671875,0.09442138671875,0.1690142822265625
180,1.8,0.00094378662109375,0.094378662109375,0.16988159179687498
181,1.81,0.00092291259765625,0.09229125976562501,0.16704718017578127
182,1.82,0.0009151611328125,0.09151611328125,0.166559326171875
183,1.83,0.000861572265625,0.0861572265625,0.157667724609375
184,1.84,0.000814453125,0.08144531249999999,0.149859375
185,1.85,0.000875732421875,0.08757324218750001,0.162010498046875
186,1.86,0.0009080810546875,0.09080810546875,0.168903076171875
187,1.87,0.00084423828125,0.084423828125,0.15787255859375002
188,1.88,0.0007943115234375,0.07943115234374999,0.14933056640625
189,1.89,0.00079840087890625,0.079840087890625,0.15089776611328123
190,1.9,0.00075335693359375,0.075335693359375,0.1431378173828125
191,1.91,0.00074774169921875,0.074774169921875,0.14281866455078124
192,1.92,0.00077679443359375,0.077679443359375,0.14914453125
193,1.93,0.00071453857421875,0.071453857421875,0.13790594482421875
194,1.94,0.000805419921875,0.0805419921875,0.15625146484375
195,1.95,0.000749267578125,0.0749267578125,0.146107177734375
196,1.96,0.0006923828125,0.06923828124999999,0.13570703125
197,1.97,0.00063232421875,0.063232421875,0.12456787109374999
198,1.98,0.0005611572265625,0.056115722656250006,0.11110913085937502
199,1.99,0.0006302490234375,0.06302490234375001,0.12541955566406252
200,2.0,0.000697509765625,0.06975097656250001,0.13950195312500002
201,2.01,0.00064862060546875,0.064862060546875,0.13037274169921875
202,2.02,0.000575439453125,0.057543945312500004,0.11623876953125001
203,2.03,0.0006693115234375,0.06693115234375,0.1358702392578125
204,2.04,0.00067352294921875,0.067352294921875,0.137398681640625
205,2.05,0.00066827392578125,0.066827392578125,0.13699615478515625
206,2.06,0.00062091064453125,0.062091064453125,0.1279075927734375
207,2.07,0.00055517578125,0.055517578125,0.11492138671875
208,2.08,0.00061700439453125,0.061700439453125,0.1283369140625
209,2.09,0.00066064453125,0.066064453125,0.13807470703125
210,2.1,0.00053082275390625,0.053082275390624996,0.1114727783203125
211,2.11,0.0004737548828125,0.047375488281249996,0.0999622802734375
212,2.12,0.00049053955078125,0.049053955078125,0.10399438476562502
213,2.13,0.00049139404296875,0.049139404296875,0.10466693115234375
214,2.14,0.0005936279296875,0.05936279296875001,0.127036376953125
215,2.15,0.00054644775390625,0.054644775390625,0.11748626708984375
216,2.16,0.00051544189453125,0.051544189453125,0.11133544921875001
217,2.17,0.00053125,0.053125000000000006,0.11528125
218,2.18,0.0005035400390625,0.05035400390625,0.109771728515625
219,2.19,0.00055810546875,0.055810546875,0.12222509765625
220,2.2,0.00042083740234375,0.042083740234375,0.09258422851562499
221,2.21,0.00042041015625,0.042041015625,0.09291064453125
222,2.22,0.0004329833984375,0.04329833984375,0.09612231445312501
223,2.23,0.00043878173828125,0.043878173828125,0.09784832763671875
224,2.24,0.00049853515625,0.049853515625,0.11167187499999999
225,2.25,0.0004970703125,0.04970703125,0.1118408203125
226,2.26,0.00050341796875,0.050341796875,0.11377246093749999
227,2.27,0.0004022216796875,0.04022216796875,0.0913043212890625
228,2.28,0.00038690185546875,0.038690185546875006,0.08821362304687501
229,2.29,0.0003704833984375,0.03704833984375,0.0848406982421875
230,2.3,0.0004473876953125,0.04473876953125,0.102899169921875
231,2.31,0.0003538818359375,0.03538818359375,0.0817467041015625
232,2.32,0.000356201171875,0.0356201171875,0.082638671875
233,2.33,0.00046527099609375,0.046527099609375004,0.10840814208984376
234,2.34,0.00051806640625,0.051806640625,0.1212275390625
235,2.35,0.0004302978515625,0.04302978515625,0.1011199951171875
236,2.36,0.00045758056640625,0.045758056640625,0.107989013671875
237,2.37,0.00045599365234375,0.045599365234375,0.10807049560546875
238,2.38,0.00036895751953125,0.036895751953125,0.0878118896484375
239,2.39,0.0003721923828125,0.03721923828125,0.0889539794921875
240,2.4,0.00041015625,0.041015625,0.0984375
241,2.41,0.00038916015625,0.038916015625,0.09378759765625
242,2.42,0.0003834228515625,0.03834228515625,0.092788330078125
243,2.43,0.000428955078125,0.0428955078125,0.10423608398437499
244,2.44,0.000362548828125,0.0362548828125,0.08846191406250001
245,2.45,0.000375,0.0375,0.091875
