t,C,C*t
1,0.25,0.25
2,0.058389892578125,0.11677978515625
3,0.019766845703125,0.059300537109375
4,0.012760009765625,0.0510400390625
5,0.00857421875,0.04287109375
6,0.0060504150390625,0.036302490234375
7,0.0049749755859375,0.0348248291015625
8,0.0037994384765625,0.0303955078125
9,0.0026190185546875,0.023571166992187496
10,0.0023773193359375,0.023773193359375
11,0.001568603515625,0.017254638671875
12,0.001400146484375,0.016801757812500002
13,0.00103759765625,0.01348876953125
14,0.00130126953125,0.0182177734375
15,0.00129638671875,0.019445800781249998
16,0.0012127685546875,0.019404296875
17,0.00079833984375,0.01357177734375
18,0.00103759765625,0.0186767578125
19,0.0008441162109375,0.0160382080078125
20,0.000362548828125,0.007250976562500001
21,0.000391845703125,0.008228759765625
22,0.00070068359375,0.0154150390625
23,0.0003900146484375,0.0089703369140625
24,0.000411376953125,0.009873046875
25,0.0003240966796875,0.0081024169921875
26,0.000318603515625,0.00828369140625
27,0.0004620361328125,0.012474975585937501
28,0.000479736328125,0.0134326171875
29,0.0002935791015625,0.008513793945312499
30,0.0005328369140625,0.015985107421875002
31,0.000325927734375,0.010103759765625
32,0.0006622314453125,0.02119140625
33,0.000517578125,0.017080078125000002
34,0.000205078125,0.00697265625
35,0.00029296875,0.01025390625
36,0.0001373291015625,0.00494384765625
37,0.0001312255859375,0.0048553466796875
38,0.00024169921875,0.0091845703125
39,6.28662109375e-05,0.0024517822265625
40,0.000283203125,0.011328125
41,0.00023681640625,0.009709472656249999
42,0.0001348876953125,0.005665283203125
43,7.4462890625e-05,0.003201904296875
44,0.0001983642578125,0.00872802734375
45,3.662109375e-05,0.00164794921875
46,0.0001287841796875,0.005924072265624999
47,0.000277099609375,0.013023681640625
48,4.5166015625e-05,0.0021679687499999998
49,6.4697265625e-05,0.0031701660156250003
50,-9.82666015625e-05,-0.004913330078125
51,0.000174560546875,0.008902587890624999
52,-4.08935546875e-05,-0.00212646484375
53,-0.000111083984375,-0.0058874511718750005
54,-0.0001678466796875,-0.009063720703125
55,-0.0003271484375,-0.0179931640625
56,-4.69970703125e-05,-0.0026318359375000003
57,0.0002301025390625,0.013115844726562501
58,3.60107421875e-05,0.002088623046875
59,0.0003497314453125,0.020634155273437503
60,1.03759765625e-05,0.0006225585937500001
61,-0.000107421875,-0.006552734375
62,0.0001690673828125,0.010482177734375
63,0.00018798828125,0.01184326171875
64,6.16455078125e-05,0.0039453125
65,0.0002362060546875,0.0153533935546875
66,-4.638671875e-05,-0.0030615234375000002
67,-2.3193359375e-05,-0.001553955078125
68,0.00026123046875,0.017763671875
69,0.000128173828125,0.008843994140625
70,5.43212890625e-05,0.0038024902343750003
71,0.0001849365234375,0.0131304931640625
72,0.0001568603515625,0.0112939453125
73,-0.00013427734375,-0.009802246093750001
74,-6.53076171875e-05,-0.004832763671875
75,-0.0003436279296875,-0.0257720947265625
76,-0.0001409912109375,-0.01071533203125
77,-0.0002734375,-0.021054687500000002
78,-5.0048828125e-05,-0.0039038085937499996
79,8.7890625e-05,0.0069433593749999994
80,0.00052490234375,0.0419921875
81,0.0001116943359375,0.009047241210937501
82,0.00013916015625,0.011411132812499999
83,0.00037109375,0.03080078125
84,-0.0001031494140625,-0.00866455078125
85,7.8125e-05,0.006640625
86,0.0001202392578125,0.010340576171875
87,0.000198974609375,0.017310791015625
88,0.0002447509765625,0.0215380859375
89,0.0002490234375,0.0221630859375
90,-0.0001275634765625,-0.011480712890625
91,0.0001483154296875,0.013496704101562501
92,0.0002288818359375,0.02105712890625
93,-0.000213623046875,-0.019866943359375
94,0.0002044677734375,0.019219970703125002
95,0.0001666259765625,0.0158294677734375
96,0.0001934814453125,0.01857421875
97,3.0517578125e-06,0.00029602050781250003
98,-0.000205078125,-0.02009765625
99,-6.89697265625e-05,-0.006828002929687499
100,-4.0283203125e-05,-0.0040283203125
101,0.000196533203125,0.019849853515625
102,0.0001910400390625,0.019486083984375
103,0.0001324462890625,0.0136419677734375
104,0.0001251220703125,0.0130126953125
105,0.000113525390625,0.011920166015625
106,0.00015380859375,0.0163037109375
107,3.0517578125e-06,0.00032653808593750003
108,0.000147705078125,0.0159521484375
109,7.26318359375e-05,0.0079168701171875
110,0.0001153564453125,0.012689208984374999
111,-0.0001385498046875,-0.0153790283203125
112,-0.000123291015625,-0.01380859375
113,0.0001416015625,0.016000976562499998
114,0.000267333984375,0.03047607421875
115,0.000130615234375,0.015020751953125001
116,-0.0001397705078125,-0.01621337890625
117,0.0002032470703125,0.0237799072265625
118,4.45556640625e-05,0.005257568359375
119,-0.000162353515625,-0.019320068359375
120,5.0048828125e-05,0.0060058593749999995
121,8.30078125e-05,0.0100439453125
122,0.0001458740234375,0.017796630859375002
123,-0.000146484375,-0.018017578125
124,-0.000189208984375,-0.023461914062500002
125,-6.65283203125e-05,-0.0083160400390625
126,-0.00029541015625,-0.0372216796875
127,-0.000126953125,-0.016123046875
128,0.0001690673828125,0.021640625
129,0.0002166748046875,0.0279510498046875
130,0.0002716064453125,0.035308837890625
131,0.000191650390625,0.025106201171875002
132,0.0001336669921875,0.01764404296875
133,1.15966796875e-05,0.0015423583984375
134,0.000224609375,0.03009765625
135,0.000107421875,0.014501953125
136,0.0002227783203125,0.0302978515625
137,9.21630859375e-05,0.0126263427734375
138,0.00040771484375,0.056264648437499995
139,0.0001922607421875,0.026724243164062498
140,3.84521484375e-05,0.00538330078125
141,0.000306396484375,0.043201904296874996
142,-7.14111328125e-05,-0.010140380859375
143,-5.4931640625e-06,-0.0007855224609375
