t,C,C*t
1,0.25,0.25
2,0.109117431640625,0.21823486328125
3,0.053543701171875,0.16063110351562498
4,0.0293853759765625,0.11754150390625
5,0.01800048828125,0.09000244140625001
6,0.01134521484375,0.0680712890625
7,0.007960205078125,0.055721435546874996
8,0.00605712890625,0.04845703125
9,0.00475341796875,0.04278076171875
10,0.0038677978515625,0.038677978515624996
11,0.003282470703125,0.036107177734375
12,0.0022772216796875,0.02732666015625
13,0.0016961669921875,0.0220501708984375
14,0.0015106201171875,0.021148681640625
15,0.001591796875,0.023876953125
16,0.0012530517578125,0.020048828125
17,0.00108154296875,0.01838623046875
18,0.000780029296875,0.01404052734375
19,0.00101318359375,0.019250488281250002
20,0.000799560546875,0.0159912109375
21,0.000518798828125,0.010894775390625
22,0.000596923828125,0.01313232421875
23,0.0005621337890625,0.0129290771484375
24,0.0001153564453125,0.0027685546875
25,0.0005499267578125,0.0137481689453125
26,0.0005224609375,0.013583984375
27,0.0005035400390625,0.0135955810546875
28,0.000302734375,0.0084765625
29,0.00052490234375,0.015222167968749999
30,0.000419921875,0.01259765625
31,0.000455322265625,0.014114990234375
32,0.000235595703125,0.0075390625
33,0.0003228759765625,0.0106549072265625
34,0.0002508544921875,0.008529052734375
35,8.4228515625e-05,0.002947998046875
36,0.000322265625,0.0116015625
37,0.00052001953125,0.01924072265625
38,0.000352783203125,0.013405761718750001
39,7.26318359375e-05,0.0028326416015625
40,9.58251953125e-05,0.0038330078125000003
41,7.75146484375e-05,0.0031781005859375
42,0.0002667236328125,0.011202392578125
43,0.0001300048828125,0.005590209960937499
44,0.0001422119140625,0.006257324218750001
45,-0.0003271484375,-0.014721679687500001
46,-5.67626953125e-05,-0.002611083984375
47,0.0001666259765625,0.0078314208984375
48,6.8359375e-05,0.0032812500000000003
49,-7.2021484375e-05,-0.003529052734375
50,-1.40380859375e-05,-0.000701904296875
51,4.08935546875e-05,0.0020855712890625
52,-7.75146484375e-05,-0.00403076171875
53,0.00026611328125,0.01410400390625
54,3.47900390625e-05,0.0018786621093749999
55,0.0002288818359375,0.0125885009765625
56,-5.79833984375e-05,-0.0032470703124999997
57,-9.1552734375e-05,-0.005218505859375
58,-0.0001922607421875,-0.011151123046875
59,-0.000135498046875,-0.007994384765625001
60,-0.000159912109375,-0.009594726562500001
61,-0.000118408203125,-0.007222900390625
62,5.126953125e-05,0.0031787109375
63,-9.09423828125e-05,-0.0057293701171875
64,0.0002569580078125,0.0164453125
65,-0.00020263671875,-0.013171386718749999
66,-0.000185546875,-0.012246093750000001
67,-6.16455078125e-05,-0.0041302490234375
68,0.0001123046875,0.00763671875
69,-7.32421875e-05,-0.0050537109375
70,0.00019287109375,0.013500976562500001
71,-7.14111328125e-05,-0.0050701904296875
72,9.27734375e-05,0.0066796875
73,-5.06591796875e-05,-0.0036981201171874998
74,3.41796875e-05,0.0025292968750000003
75,-0.0001055908203125,-0.0079193115234375
76,7.4462890625e-05,0.0056591796875
77,-0.000103759765625,-0.007989501953125
78,0.0001318359375,0.010283203125000001
79,0.0001861572265625,0.0147064208984375
80,0.0002685546875,0.021484375
81,9.33837890625e-05,0.0075640869140625
82,-9.765625e-06,-0.0008007812500000001
83,0.0004058837890625,0.0336883544921875
84,0.0001947021484375,0.01635498046875
85,0.000208740234375,0.017742919921875
86,0.000174560546875,0.015012207031249999
87,0.0002960205078125,0.0257537841796875
88,-0.000126953125,-0.011171875000000001
89,0.000130615234375,0.011624755859375
90,-2.0751953125e-05,-0.00186767578125
91,-7.9345703125e-06,-0.0007220458984375
92,-0.0002435302734375,-0.022404785156250002
93,-3.0517578125e-05,-0.002838134765625
94,-3.7841796875e-05,-0.00355712890625
95,0.0001318359375,0.012524414062500001
96,-1.40380859375e-05,-0.0013476562500000001
97,-5.79833984375e-05,-0.0056243896484374995
98,4.0283203125e-05,0.00394775390625
99,0.000185546875,0.018369140625
100,-0.000281982421875,-0.0281982421875
101,9.521484375e-05,0.00961669921875
102,0.0001068115234375,0.010894775390625
103,0.000369873046875,0.038096923828125
104,0.0004827880859375,0.0502099609375
105,0.0001678466796875,0.0176239013671875
106,0.000335693359375,0.03558349609375
107,0.000299072265625,0.032000732421875004
108,-0.000177001953125,-0.0191162109375
109,-0.0001898193359375,-0.0206903076171875
110,-0.000345458984375,-0.03800048828125
111,-1.220703125e-05,-0.0013549804687500002
112,-2.44140625e-06,-0.0002734375
113,0.000118408203125,0.013380126953125
114,0.000213623046875,0.02435302734375
115,1.64794921875e-05,0.0018951416015625
116,-0.0003594970703125,-0.04170166015625
117,-0.0002191162109375,-0.0256365966796875
118,-0.0002557373046875,-0.030177001953125004
119,0.0003082275390625,0.036679077148437496
120,0.00021728515625,0.02607421875
121,0.0001348876953125,0.016321411132812498
122,0.0001751708984375,0.021370849609375
123,0.000257568359375,0.031680908203125
124,0.0004180908203125,0.05184326171875
125,0.0001702880859375,0.0212860107421875
126,0.0003656005859375,0.046065673828125
127,-0.0002056884765625,-0.0261224365234375
128,-0.000308837890625,-0.03953125
129,2.8076171875e-05,0.003621826171875
130,3.5400390625e-05,0.0046020507812499995
131,0.000213623046875,0.027984619140625
132,0.00030517578125,0.040283203125
133,0.000380859375,0.050654296875000004
134,0.0002435302734375,0.032633056640625005
135,0.0001617431640625,0.0218353271484375
136,0.000225830078125,0.030712890625000003
137,0.0,0.0
138,-0.0002532958984375,-0.034954833984375
139,-1.220703125e-06,-0.00016967773437500002
140,-5.7373046875e-05,-0.0080322265625
141,-0.00024658203125,-0.03476806640625
142,2.44140625e-06,0.0003466796875
143,-5.92041015625e-05,-0.0084661865234375
144,-4.7607421875e-05,-0.0068554687500000005
145,9.8876953125e-05,0.014337158203125
146,-4.33349609375e-05,-0.006326904296875
147,-8.6669921875e-05,-0.012740478515624999
148,0.0001348876953125,0.01996337890625
149,-4.69970703125e-05,-0.0070025634765625
150,-7.6904296875e-05,-0.01153564453125
151,0.0001483154296875,0.0223956298828125
152,0.0001715087890625,0.0260693359375
153,-8.72802734375e-05,-0.0133538818359375
154,-0.0002191162109375,-0.033743896484375
155,0.0001568603515625,0.024313354492187498
156,0.0001708984375,0.026660156249999997
157,6.77490234375e-05,0.0106365966796875
158,-1.220703125e-06,-0.00019287109375
159,0.0003204345703125,0.0509490966796875
160,-4.8828125e-06,-0.00078125
161,-0.00024658203125,-0.03969970703125
