observation_distance,batch_size,gamma,eps_start,eps_end,eps_decay,tau,lr,memory_size,current
1,512,0.999,0.9,0.1,5000,0.0001,0.001,100000,0.568215892053973
1,512,0.999,0.9,0.1,5000,0.0001,0.01,100000,0.5212393803098451
1,512,0.999,0.9,0.1,5000,0.0001,0.1,100000,0.5322338830584707
1,512,0.999,0.9,0.1,5000,0.01,0.001,100000,0.21839080459770116
1,512,0.999,0.9,0.1,5000,0.01,0.01,100000,0.4102948525737131
1,512,0.999,0.9,0.1,5000,0.01,0.1,100000,0.17091454272863568
1,512,0.999,0.9,0.1,100000,0.0001,0.001,100000,0.2818590704647676
1,512,0.999,0.9,0.1,100000,0.0001,0.01,100000,0.29685157421289354
1,512,0.999,0.9,0.1,100000,0.0001,0.1,100000,0.28835582208895555
1,512,0.999,0.9,0.1,100000,0.01,0.001,100000,0.16091954022988506
1,512,0.999,0.9,0.1,100000,0.01,0.01,100000,0.15592203898050974
1,512,0.999,0.9,0.1,100000,0.01,0.1,100000,0.16991504247876063
1,512,0.999,0.9,0.1,600000,0.0001,0.001,100000,0.22688655672163918
1,512,0.999,0.9,0.1,600000,0.0001,0.01,100000,0.2303848075962019
1,512,0.999,0.9,0.1,600000,0.0001,0.1,100000,0.2283858070964518
1,512,0.999,0.9,0.1,600000,0.01,0.001,100000,0.17041479260369816
1,512,0.999,0.9,0.1,600000,0.01,0.01,100000,0.1904047976011994
1,512,0.999,0.9,0.1,600000,0.01,0.1,100000,0.17541229385307347
